Segment,Road_Name
Kent Street to Bevtre Street,Alfred Street
Rubicon Street to Kent Street,Alfred Street
Sturt Street Inter,Armstrong Street South
Grant Street to Bradshaw Street,Barkly Street
Bradshaw Street to Gladstone Street,Barkly Street
Gladstone Street to Cobden Street,Barkly Street
Cobden Street to Dunlop Street,Barkly Street
Dunlop Street to Morton Street,Barkly Street
Morton Street to Pryor Street,Barkly Street
Humffray Street to Morton Street,Barkly Street
Morton Street to Cobden Street,Barkly Street
Cobden Street to Gladstone Street,Barkly Street
Gladstone Street to Bradshaw Street,Barkly Street
Bradshaw Street to Cameron Street,Barkly Street
Cameron Street to Grant Street,Barkly Street
Gregory Street to Cardigan Street,Burnbank Street
Cardigan Street to Lexton Street,Burnbank Street
Macarthur Street to Gnarr Street,Burnbank Street
Gnarr Street to Cardigan Street,Burnbank Street
Cardigan Street toto Haddon Street,Burnbank Street
Haddon Street to Gregory Street,Burnbank Street
Lydiard Street to Neill Street,Chisholm Street
Neill Street to Ligar Street,Chisholm Street
Ligar Street to Havelock Street,Chisholm Street
havelock Street to Peel Street,Chisholm Street
Peel Street to Nicholson Street,Chisholm Street
Nicholson Street to Sherrard Street,Chisholm Street
Sherrard Street to Nicholson Street,Chisholm Street
Nicholson Street to Peel Street,Chisholm Street
Peel Street to Havelock Street,Chisholm Street
Havelock Street to Ligar Street,Chisholm Street
Ligar Street to Neill Street,Chisholm Street
Neill Street to Lydiard Street,Chisholm Street
Parkview Drive to Robertson Drive,Cuthberts Road
Robertson Drive to Elaine Avenue,Cuthberts Road
Elaine Avenue to Alfredton Drive,Cuthberts Road
Alfredton Drive to Robertson Drive,Cuthberts Road
Ningana Street to Victory Avenue,Cuthberts Road
Victory Avenue to Caridgan Avenue,Cuthberts Road
Cardigan Avenue to Learmonth Street,Cuthberts Road
Learmonth Street to Victory Avenue,Cuthberts Road
Victory Avenue to Towong Street,Cuthberts Road
Robertson Drive to Jarrah Drive,Cuthberts Road
Jarrah Drive to Dysons Drive,Cuthberts Road
Dyson Drive to Parkview Drive,Cuthberts Road
Elaine Avenue to Cedar Avenue,Cuthberts Road
Cedar Avenue to Lawrie Drive,Cuthberts Road
Lawrie Drive to Carpark Exit Road,Cuthberts Road
Carpark Exit Road to Elaine Avenue,Cuthberts Road
Grenville Street South to Albert Street ,Dana Street
Albert Street to Lydiard Street,Dana Street
Lydiard Street to Armstrong Street ,Dana Street
Doveton Street to Dawson Street,Dana Street
Dawson Street to Lyons Street,Dana Street
Lyons Street to Raglan Street,Dana Street
Raglan Street to Errard Street,Dana Street
Errard Street to Drummond Street,Dana Street
Drummond Street to Windermere Street,Dana Street
Windermere Street to Ascot Street,Dana Street
Ascot Street to Ripon Street,Dana Street
Ripon Street to Pleasant Street,Dana Street
Pleasant Street to Ripon Street,Dana Street
Ripon Street to Talbot Street,Dana Street
Talbot Street to Ascot Street,Dana Street
Ascot Street to Windermere Street,Dana Street
Windermere Street to Drummond Street,Dana Street
Drummond Street to Errard Street,Dana Street
Errard Street to Raglan Street,Dana Street
Raglan Street to Lyons Street,Dana Street
Lyons Street to Dawson Street,Dana Street
Dawson Street to Doveton Street,Dana Street
Armstrong Street to Lydiard Street,Dana Street
Lydiard Street to Albert Street,Dana Street
Albert Street to Grenville Street,Dana Street
Norman Street to Landsborough Street,Doveton Street North
Landsborough Street to Walker Street,Doveton Street North
Walker Street to Howitt Street,Doveton Street North
Howitt Street to Gregory Street,Doveton Street North
Gregory Street to Howard Street,Doveton Street North
Howard Street to Brougham Street,Doveton Street North
Brougham Street to Macarthur Street,Doveton Street North
Macarthur Street to Clarendon Street,Doveton Street North
Clarendon Street to Doveton Crescent,Doveton Street North
Little Clyde Street to Macarthur Street,Doveton Street North
Macarthur Street to Brougham Street,Doveton Street North
Brougham Street to Howard Street,Doveton Street North
Howard Street to Gregory Street,Doveton Street North
Gregory Street to Howitt Street,Doveton Street North
Howitt Street to Paling Street,Doveton Street North
Paling Street to Walsh Avenue,Doveton Street North
Walsh Avenue to Midlands Terrace,Doveton Street North
Midlands Avenue to Norman Street,Doveton Street North
Norman Street to Golf View Drive,Doveton Street North
Golf View Drive to Lemuela Court,Doveton Street North
Lemuela Court to Heinz Lane,Doveton Street North
Heinz Lane to Norman Street,Doveton Street North
Norman Street to Hawthorn Grove,Dowling Street
Norman Street to Hawthorn Grove,Dowling Street
Poplar Street to Hawthorn Grove,Dowling Street
Poplar Street to Hawthorn Grove,Dowling Street
Williams Street to Poplar Street,Dowling Street
Williams Street to Poplar Street,Dowling Street
Macarthur Street to Duncan Street,Drummond Street North
Duncan Street to Mill Street,Drummond Street North
Mill Street to Webster Street,Drummond Street North
Webster Street to Mair Street,Drummond Street North
Mair Street to Webster Street,Drummond Street North
Webster Street to Victoria Avenue,Drummond Street North
Victoria Avenue to Mill Street,Drummond Street North
Mill Street to Oddie Street,Drummond Street North
Oddie Street to Macarthur Street,Drummond Street North
Pryor Street to Heales Street,Elsworth Street West
Heales Street to Brittain Street,Elsworth Street West
Brittain Street to Main Road,Elsworth Street West
Main Road to Brittain Street,Elsworth Street West
Brittain Street to Saunders Close,Elsworth Street West
Saunders Close to Watson Drive,Elsworth Street West
Watson Drive to Flockhart Street,Elsworth Street West
Flockhart Avenue to Lightfoot Avenue,Elsworth Street West
Main Road to MacDonald Street,Eureka Street
MacDonald Street to Princes Street South,Eureka Street
Princes Street South to King Street South,Eureka Street
King Street South to Otway Street South,Eureka Street
Otway Street South to Queen Street South,Eureka Street
Queen Street South to Belford Street,Eureka Street
Belford Street to Rodier Street,Eureka Street
Rodier Street to Stawell Street,Eureka Street
Stawell Street to Ross Street,Eureka Street
Ross Street to Fussell Street,Eureka Street
Fussell Street to Richards Street,Eureka Street
Richards Street to Kline Street,Eureka Street
Kline Street to Scobie Court,Eureka Street
Scobie Court to Rodier Street,Eureka Street
Rodier Street to Joseph Stret,Eureka Street
Joseph Street to Otway Street,Eureka Street
Otway Street South to King Street South,Eureka Street
King Street South to Dodds Lane,Eureka Street
Dodds Lane to MacDonald Street,Eureka Street
MacDonald Street to Main Road,Eureka Street
Norman Street to Kirk Street ,Forest Street
Howitt Street to Norman Street,Forest Street
Hamlet Street to Norman Street,Forest Street
Norman Street to Hastings Street,Forest Street
Eureka Street to Stockade Street,Fussell Street
Stockade Street to York Street,Fussell Street
Dana Street to Lewis Street,Grenville Street South
Little Bridge Street to Dana Street,Grenville Street South
Burnbank Street to Wendouree Parade,Haddon Street
Wendouree Parade to Brawn Avenue,Haddon Street
Havelock Street to Ligar Street,Howitt Street
Ligar Street to Lydiard Street,Howitt Street
Lydiard Street to Armstrong Street,Howitt Street
Armstrong Street to Doveton Street,Howitt Street
Doveton Street to Crompton Street,Howitt Street
Crompton Street to Wood Street,Howitt Street
Wood Street to Creswick Road,Howitt Street
Creswick Road to Lilley Street,Howitt Street
Lilley Street to Stanley Street,Howitt Street
Stanley Street to Doveton Street,Howitt Street
Doveton Street to Armstrong Street,Howitt Street
Armstrong Street to Lydiard Street,Howitt Street
Lydiard Street to Ligar Street,Howitt Street
Ligar Street to Havelock Street,Howitt Street
Scott Parade to Princes Street North,Humffray Street North
Princes Street North to King Street South,Humffray Street North
King Street to Newman Street,Humffray Street North
Newman Street to Queen Street,Humffray Street North
Queen Street to Oliver Street,Humffray Street North
Oliver Street to Rice Street,Humffray Street North
Rice Street to Stawell Street,Humffray Street North
Stawell Street to Haines Street,Humffray Street North
Haines Street to Lane Street,Humffray Street North
Ainley Street to Thompson Street,Humffray Street North
Thompson Street to Reid Street,Humffray Street North
Reid Street to Bawden Street,Humffray Street North
Water Street to Bradbury Street,Humffray Street North
Bradbury Street to Brophy Street,Humffray Street North
Brophy Street to Thompson Street,Humffray Street North
Thompson Street to Lane Street,Humffray Street North
Lane Street to Haines Street,Humffray Street North
Haines Street to Stawell Street,Humffray Street North
Stawell Street to Rice Street,Humffray Street North
Rice Street to Oliver Street,Humffray Street North
Oliver Street to Queen Street,Humffray Street North
Queen Street to Otway Street,Humffray Street North
Otway Street to King Street,Humffray Street North
King Street to Princes Street,Humffray Street North
Princes Street to Scott Parade,Humffray Street North
York Street to Sheehan Court,Kline Street
Sheehan Court to Eureka Gardens,Kline Street
Eureka Gardens to Eureka Street ,Kline Street
Eureka Street to Wesley Court,Kline Street
Wesley Court to Maxlyn Avenue,Kline Street
Maxlyn Avenue to York Street,Kline Street
Brazenor Street to Valentine Street,La Trobe Street
Valentine Street to Sutton Street,La Trobe Street
Sutton Street to Adair Street,La Trobe Street
Adair Street to Pleasant Street South,La Trobe Street
Pleasant Street to Ripon Street,La Trobe Street
Ripon Street to Talbot Street,La Trobe Street
Talbot Street to Ascot Street,La Trobe Street
Ascot Street to Windemere Street,La Trobe Street
Windemere Street to Drummond Street,La Trobe Street
Drummond Street to Windemere Street,La Trobe Street
Windemere Street to Ascot Street,La Trobe Street
Ascot Street to Talbot Street,La Trobe Street
Talbot Street to Ripon Street,La Trobe Street
Ripon Street to Pleasant Street,La Trobe Street
Pleasant Street to Adair Street,La Trobe Street
Adair Street to Sutton Street,La Trobe Street
Sutton Street to Wallis Street,La Trobe Street
Wallis Street to Brazenor Street,La Trobe Street
Leopold Street to Napier Avenue,Learmonth Street
Sorrento Drive to Portsea Street,Learmonth Street
Wendouree Parade to Pleasant Street,Mair Street
Pleasant Street to Wendouree Parade,Mair Street
Creswick Road to Club Crescent,Norman Street
Club Cr to Suburban Avenue,Norman Street
Suburban Avenue to Doveton Street,Norman Street
Doveton Street to Lydiard Street (roundabout),Norman Street
Lydiard Street (roundabout) to Tarawa Drive,Norman Street
Tarawa Drive to Havelock Road North,Norman Street
Havelock Road to Pinewood Drive,Norman Street
Pinewood Drive to Botanic Drive,Norman Street
Park View Court to Hillside Drive,Norman Street
Hillside Drive to Havelock Street,Norman Street
Havelock Street to Lavinia Drive,Norman Street
Lavinia Drive to Ligar Street,Norman Street
Ligar Street to Lydiard Street,Norman Street
Lydiard Street to Armstrong Street,Norman Street
Armstrong Street to Doveton Street,Norman Street
Doveton Street to Midlands Drive,Norman Street
Midlands Drive to Creswick Road,Norman Street
Little Bridge Street to Eastwood Street,Peel Street South
Little Bridge Street to Eastwood Street,Peel Street South
Scott Parade to Rowe Street,Peel Street North
Rowe Street to Clissold Street,Peel Street North
Clissold Street to Napier Street,Peel Street North
Napier Street to Chisholm Street,Peel Street North
Chisholm Street to Napier Street,Peel Street North
Napier Street to Clissold Street,Peel Street North
